,mu,sig,sharpe
0700.HK,0.2727261685654262,0.31711641134623647,0.8600190933280215
0005.HK,-0.03139896007903768,0.20112002090094894,-0.15612050922817666
1299.HK,0.16005656925195205,0.24754682484055274,0.646570883528989
0939.HK,0.05486089010164393,0.2419345273418336,0.22675924228099117
2318.HK,0.1275938427495378,0.3150772114853459,0.40496055601111647
0941.HK,0.038557128559918455,0.2044725091073267,0.1885687652009982
1398.HK,0.04050766428681233,0.2530556372216511,0.16007414310763496
0388.HK,0.10042584936197776,0.2734312107338432,0.36728012538309635
3988.HK,0.048167678412125464,0.237749540716701,0.20259840783255767
0883.HK,0.05824299056751821,0.31942205713834987,0.18233866217413933
0001.HK,0.053513434616450015,0.22239970149350288,0.24061828436407923
0823.HK,0.21016750029806847,0.18604707124910227,1.1296469161649465
0003.HK,0.11668467950956017,0.1531542729015636,0.7618767488423687
0002.HK,0.09722107396015922,0.1316408526505436,0.7385326971274199
1113.HK,-0.03670098810091204,0.24856678008352098,-0.14765041446238364
2628.HK,-0.04532774772955989,0.30553393239464494,-0.14835585486135794
0011.HK,0.10852355258124664,0.16434154917680951,0.6603537153254521
0016.HK,0.049607539730526166,0.21766926006568452,0.22790328646110364
0386.HK,0.06428869303993778,0.271081507860927,0.23715632079529314
2388.HK,0.11829715556340963,0.22958958340649183,0.5152548900877734
0027.HK,0.3151181159369879,0.4400809397472656,0.7160458167489765
0688.HK,0.08693534273553552,0.34271138572215903,0.25366925744922647
0857.HK,-0.037475207234042573,0.275653984987177,-0.13595017404078472
1928.HK,0.19741095232986094,0.40052647933497676,0.49287865475869835
1109.HK,0.0952623881081074,0.3813075580843651,0.24983084150414453
2007.HK,0.21065731640534077,0.42459887394324847,0.4961325366903753
0175.HK,0.15152699650465,0.4743104047544347,0.31946800024996347
0669.HK,0.25307853974777006,0.3665073750550446,0.6905141805393711
0066.HK,0.08754044915724014,0.16892728386076683,0.5182137968274722
0288.HK,0.09014085017909991,0.3560808061300226,0.2531471750998706
0017.HK,0.03765436289997878,0.27323611226715133,0.13780888107192418
2313.HK,0.27831951057997767,0.34607527028651935,0.8042166964127602
2319.HK,0.09208927165552967,0.343880436345878,0.26779444807643976
0006.HK,0.06556826910523601,0.17739140543280124,0.36962483579890426
1997.HK,0.16322407264191596,0.26906814609384677,0.6066272615747906
1093.HK,0.1512293607160645,0.3957364839223066,0.38214662246242315
2382.HK,0.492632536275802,0.5159860117980895,0.9547400995602456
0267.HK,-0.034254517038470725,0.2859584339752225,-0.11978844814011948
0012.HK,0.07682670326541009,0.2430317407920288,0.31611798119470136
1088.HK,-0.04448546657823355,0.3271509327693833,-0.13597841889569806
0762.HK,0.0038123437362547704,0.3105657528223524,0.012275480157129495
3328.HK,0.02682674917854221,0.2631427125587007,0.10194752846350559
1177.HK,0.23909109790603336,0.4384439536275528,0.5453173568203321
0019.HK,0.0399743185783178,0.2061503790823862,0.19390853781715536
1044.HK,0.049810445466314864,0.2697480436373133,0.18465544659625757
0083.HK,0.03970218163436346,0.27042040818740415,0.14681651396239828
1038.HK,0.11557676023117495,0.18393454919671715,0.628358080284124
2018.HK,0.17310068138000403,0.44075470562719254,0.3927370012616934
0101.HK,-0.026246032099419076,0.25932613786851905,-0.10120858743797773
0151.HK,0.025191056192991664,0.318617104315368,0.07906372838056269
